1744905540971,POST,450,201,1
1744905541421,POST,75,201,1
1744905541496,POST,55,201,1
1744905541552,POST,47,201,1
1744905541600,POST,60,201,1
1744905541660,POST,39,201,1
1744905541699,POST,37,201,1
1744905541736,POST,39,201,1
1744905541776,POST,36,201,1
1744905541812,POST,38,201,1
1744905541850,POST,42,201,1
1744905541892,POST,49,201,1
1744905541941,POST,32,201,1
1744905541973,POST,56,201,1
1744905542029,POST,53,201,1
1744905542082,POST,48,201,1
1744905542130,POST,28,201,1
1744905542158,POST,37,201,1
1744905542195,POST,47,201,1
1744905542242,POST,38,201,1
1744905542280,POST,40,201,1
1744905542320,POST,34,201,1
1744905542354,POST,42,201,1
1744905542396,POST,37,201,1
1744905542433,POST,39,201,1
1744905542472,POST,31,201,1
1744905542503,POST,21,201,1
1744905542524,POST,35,201,1
1744905542559,POST,30,201,1
1744905542589,POST,42,201,1
1744905542631,POST,29,201,1
1744905542660,POST,33,201,1
1744905542693,POST,34,201,1
1744905542727,POST,41,201,1
1744905542768,POST,38,201,1
1744905542806,POST,44,201,1
1744905542850,POST,44,201,1
1744905542894,POST,40,201,1
1744905542934,POST,39,201,1
1744905542973,POST,38,201,1
1744905543011,POST,30,201,1
1744905543041,POST,43,201,1
1744905543084,POST,35,201,1
1744905543119,POST,34,201,1
1744905543153,POST,29,201,1
1744905543182,POST,24,201,1
1744905543206,POST,20,201,1
1744905543226,POST,31,201,1
1744905543257,POST,35,201,1
1744905543292,POST,38,201,1
1744905543330,POST,31,201,1
1744905543361,POST,34,201,1
1744905543395,POST,30,201,1
1744905543425,POST,35,201,1
1744905543460,POST,30,201,1
1744905543490,POST,28,201,1
1744905543518,POST,23,201,1
1744905543542,POST,30,201,1
1744905543572,POST,36,201,1
1744905543608,POST,29,201,1
1744905543638,POST,34,201,1
1744905543672,POST,39,201,1
1744905543711,POST,34,201,1
1744905543745,POST,46,201,1
1744905543791,POST,35,201,1
1744905543826,POST,29,201,1
1744905543855,POST,23,201,1
1744905543878,POST,27,201,1
1744905543905,POST,27,201,1
1744905543932,POST,23,201,1
1744905543955,POST,28,201,1
1744905543983,POST,32,201,1
1744905544015,POST,29,201,1
1744905544044,POST,23,201,1
1744905544067,POST,28,201,1
1744905544095,POST,28,201,1
1744905544123,POST,29,201,1
1744905544152,POST,27,201,1
1744905544179,POST,29,201,1
1744905544208,POST,35,201,1
1744905544243,POST,36,201,1
1744905544279,POST,31,201,1
1744905544310,POST,33,201,1
1744905544343,POST,28,201,1
1744905544371,POST,26,201,1
1744905544397,POST,31,201,1
1744905544428,POST,30,201,1
1744905544458,POST,24,201,1
1744905544482,POST,29,201,1
1744905544511,POST,31,201,1
1744905544542,POST,26,201,1
1744905544568,POST,19,201,1
1744905544587,POST,33,201,1
1744905544620,POST,19,201,1
1744905544639,POST,30,201,1
1744905544669,POST,29,201,1
1744905544698,POST,27,201,1
1744905544725,POST,24,201,1
1744905544749,POST,23,201,1
1744905544772,POST,23,201,1
1744905540978,POST,443,201,1
1744905541421,POST,75,201,1
1744905541496,POST,54,201,1
1744905541550,POST,54,201,1
1744905541604,POST,61,201,1
1744905541665,POST,56,201,1
1744905541721,POST,41,201,1
1744905541762,POST,25,201,1
1744905541787,POST,53,201,1
1744905541840,POST,46,201,1
1744905541886,POST,27,201,1
1744905541913,POST,30,201,1
1744905541943,POST,29,201,1
1744905541972,POST,32,201,1
1744905542004,POST,65,201,1
1744905542069,POST,31,201,1
1744905542100,POST,38,201,1
1744905542138,POST,29,201,1
1744905542167,POST,40,201,1
1744905542207,POST,42,201,1
1744905542249,POST,30,201,1
1744905542279,POST,44,201,1
1744905542323,POST,35,201,1
1744905542358,POST,38,201,1
1744905542396,POST,49,201,1
1744905542445,POST,37,201,1
1744905542482,POST,35,201,1
1744905542517,POST,35,201,1
1744905542552,POST,41,201,1
1744905542593,POST,37,201,1
1744905542630,POST,33,201,1
1744905542663,POST,28,201,1
1744905542691,POST,24,201,1
1744905542715,POST,29,201,1
1744905542744,POST,47,201,1
1744905542791,POST,49,201,1
1744905542840,POST,29,201,1
1744905542869,POST,33,201,1
1744905542902,POST,35,201,1
1744905542937,POST,36,201,1
1744905542973,POST,40,201,1
1744905543013,POST,25,201,1
1744905543038,POST,45,201,1
1744905543083,POST,36,201,1
1744905543119,POST,34,201,1
1744905543153,POST,38,201,1
1744905543191,POST,31,201,1
1744905543222,POST,31,201,1
1744905543253,POST,27,201,1
1744905543280,POST,28,201,1
1744905543308,POST,22,201,1
1744905543330,POST,33,201,1
1744905543363,POST,34,201,1
1744905543397,POST,29,201,1
1744905543426,POST,31,201,1
1744905543457,POST,33,201,1
1744905543490,POST,28,201,1
1744905543518,POST,23,201,1
1744905543542,POST,40,201,1
1744905543582,POST,28,201,1
1744905543610,POST,42,201,1
1744905543652,POST,31,201,1
1744905543683,POST,34,201,1
1744905543717,POST,35,201,1
1744905543752,POST,38,201,1
1744905543790,POST,36,201,1
1744905543826,POST,30,201,1
1744905543856,POST,22,201,1
1744905543878,POST,28,201,1
1744905543906,POST,39,201,1
1744905543945,POST,28,201,1
1744905543973,POST,26,201,1
1744905543999,POST,31,201,1
1744905544030,POST,24,201,1
1744905544054,POST,32,201,1
1744905544086,POST,39,201,1
1744905544125,POST,30,201,1
1744905544155,POST,24,201,1
1744905544179,POST,29,201,1
1744905544208,POST,29,201,1
1744905544237,POST,29,201,1
1744905544266,POST,21,201,1
1744905544287,POST,22,201,1
1744905544309,POST,32,201,1
1744905544341,POST,28,201,1
1744905544369,POST,27,201,1
1744905544396,POST,30,201,1
1744905544426,POST,21,201,1
1744905544447,POST,35,201,1
1744905544482,POST,29,201,1
1744905544511,POST,27,201,1
1744905544538,POST,30,201,1
1744905544568,POST,29,201,1
1744905544597,POST,33,201,1
1744905544630,POST,28,201,1
1744905544659,POST,27,201,1
1744905544686,POST,23,201,1
1744905544709,POST,30,201,1
1744905544739,POST,29,201,1
1744905544768,POST,32,201,1
1744905541000,POST,422,201,1
1744905541422,POST,77,201,1
1744905541500,POST,52,201,1
1744905541552,POST,47,201,1
1744905541600,POST,46,201,1
1744905541647,POST,35,201,1
1744905541682,POST,40,201,1
1744905541723,POST,44,201,1
1744905541767,POST,56,201,1
1744905541823,POST,27,201,1
1744905541850,POST,39,201,1
1744905541889,POST,44,201,1
1744905541933,POST,34,201,1
1744905541967,POST,48,201,1
1744905542015,POST,48,201,1
1744905542063,POST,27,201,1
1744905542090,POST,47,201,1
1744905542137,POST,28,201,1
1744905542165,POST,44,201,1
1744905542209,POST,36,201,1
1744905542245,POST,34,201,1
1744905542279,POST,56,201,1
